,country_name,country_border_name
0,Abkhazia,Georgia
1,Abkhazia,Russia
2,Abkhazia,Turkey
3,Adélie Land (France), Australian Antarctic Territory (Australia)
4,Afghanistan,China
5,Afghanistan,Iran
6,Afghanistan,Pakistan
7,Afghanistan,Tajikistan
8,Afghanistan,Turkmenistan
9,Afghanistan,Uzbekistan
10,Akrotiri and Dhekelia (United Kingdom),CyprusUnited Nations Buffer Zone in Cyprus
11,Albania,Greece
12,Albania,Italy
13,Albania,Montenegro
14,Albania,North Macedonia
15,Albania,Kosovo
16,Algeria,Italy
17,Algeria,Libya 
18,Algeria,Mali
19,Algeria,Mauritania
20,Algeria,Morocco
21,Algeria,Niger
22,Algeria,Spain
23,Algeria,Tunisia
24,Algeria, Western Sahara
25,American Samoa(United States),Samoa
26,American Samoa(United States),Tonga
27,American Samoa(United States),Cook Islands(New Zealand)
28,American Samoa(United States),Niue(New Zealand)
29,American Samoa(United States),Tokelau(New Zealand)
30,Andorra,France
31,Andorra,Spain
32,Angola,Democratic Republic of the Congo
33,Angola,Republic of the Congo
34,Angola,Namibia
35,Angola,Zambia
36,Anguilla (United Kingdom),Antigua and Barbuda
37,Anguilla (United Kingdom),British Virgin Islands (United Kingdom)
38,Anguilla (United Kingdom),Netherlands
39,Anguilla (United Kingdom),Saint Barthélemy(France) Saint Martin(France)
40,Anguilla (United Kingdom),United States Virgin Islands(United States)
41,Antigua and Barbuda,France
42,Antigua and Barbuda,Saint Kitts and Nevis
43,Antigua and Barbuda,Anguilla (United Kingdom)
44,Antigua and Barbuda,Montserrat (United Kingdom) Saint Barthélemy(France)
45,Argentina,Bolivia
46,Argentina,Brazil
47,Argentina,Chile
48,Argentina,Paraguay
49,Argentina,Uruguay
50,Argentina,Falkland Islands(United Kingdom)
51,Argentine Antarctica (Argentina),Chilean Antarctic Territory (Chile)
52,Argentine Antarctica (Argentina),British Antarctic Territory (United Kingdom)
53,Armenia,Azerbaijan
54,Armenia,Georgia
55,Armenia,Iran
56,Armenia,Turkey
57,Republic of Artsakh,Armenia
58,Republic of Artsakh,Azerbaijan
59,Republic of Artsakh,Iran
60,Aruba(Netherlands),Curaçao(Netherlands)
61,Aruba(Netherlands),Dominican Republic
62,Aruba(Netherlands),Venezuela
63,Ashmore and Cartier Islands(Australia),Australia
64,Ashmore and Cartier Islands(Australia),East Timor
65,Ashmore and Cartier Islands(Australia),Indonesia
66,Australia→includes:→;Ashmore and Cartier Islands→;Christmas Island→;Cocos (Keeling) Islands→;Coral Sea Islands→;Heard Island and McDonald Islands→;Norfolk Island,East Timor
67,Australia→includes:→;Ashmore and Cartier Islands→;Christmas Island→;Cocos (Keeling) Islands→;Coral Sea Islands→;Heard Island and McDonald Islands→;Norfolk Island,Indonesia
68,Australia→includes:→;Ashmore and Cartier Islands→;Christmas Island→;Cocos (Keeling) Islands→;Coral Sea Islands→;Heard Island and McDonald Islands→;Norfolk Island,New Zealand
69,Australia→includes:→;Ashmore and Cartier Islands→;Christmas Island→;Cocos (Keeling) Islands→;Coral Sea Islands→;Heard Island and McDonald Islands→;Norfolk Island,Papua New Guinea
70,Australia→includes:→;Ashmore and Cartier Islands→;Christmas Island→;Cocos (Keeling) Islands→;Coral Sea Islands→;Heard Island and McDonald Islands→;Norfolk Island,Solomon Islands
71,Australia→includes:→;Ashmore and Cartier Islands→;Christmas Island→;Cocos (Keeling) Islands→;Coral Sea Islands→;Heard Island and McDonald Islands→;Norfolk Island,French Southern and Antarctic Lands (France)
72,Australia→includes:→;Ashmore and Cartier Islands→;Christmas Island→;Cocos (Keeling) Islands→;Coral Sea Islands→;Heard Island and McDonald Islands→;Norfolk Island,New Caledonia(France)
73,Australia (excluding outlying islands),Ashmore and Cartier Islands(Australia)
74,Australia (excluding outlying islands),Coral Sea Islands(Australia)
75,Australia (excluding outlying islands),East Timor
76,Australia (excluding outlying islands),Indonesia
77,Australia (excluding outlying islands),New Zealand
78,Australia (excluding outlying islands),Papua New Guinea
79,Australian Antarctic Territory (Australia), Adélie Land (France) Queen Maud Land (Norway) Ross Dependency (New Zealand)
80,Austria,Czech Republic
81,Austria,Germany
82,Austria,Hungary
83,Austria,Italy
84,Austria,Liechtenstein
85,Austria,Slovakia
86,Austria,Slovenia
87,Austria,Switzerland
88,Azerbaijan,Armenia
89,Azerbaijan,Georgia
90,Azerbaijan,Iran
91,Azerbaijan,Kazakhstan
92,Azerbaijan,Russia
93,Azerbaijan,Turkey
94,Azerbaijan,Turkmenistan
95,Bahamas,Cuba
96,Bahamas,Haiti
97,Bahamas,United States
98,Bahamas,Turks and Caicos Islands (United Kingdom)
99,Bahrain,Iran
100,Bahrain,Qatar
101,Bahrain,Saudi Arabia
102,Baker Island(United States), Howland Island(United States)
103,Baker Island(United States),Kiribati
104,Bangladesh,Myanmar
105,Bangladesh,India
106,Barbados,France
107,Barbados,Guyana
108,Barbados,Saint Lucia
109,Barbados,Saint Vincent and the Grenadines
110,Barbados,Trinidad and Tobago
111,Barbados,Venezuela
112,Belarus,Latvia
113,Belarus,Lithuania
114,Belarus,Poland
115,Belarus,Russia
116,Belarus,Ukraine
117,Belgium,France
118,Belgium,Germany
119,Belgium,Luxembourg
120,Belgium,Netherlands
121,Belgium,United Kingdom
122,Belize,Guatemala
123,Belize,Honduras 
124,Belize,Mexico
125,Benin,Burkina Faso
126,Benin,Niger
127,Benin,Nigeria
128,Benin,Togo
129,Bhutan,China
130,Bhutan,India
131,Bolivia,Argentina
132,Bolivia,Brazil
133,Bolivia,Chile
134,Bolivia,Paraguay
135,Bolivia,Peru
136,Bosnia and Herzegovina,Croatia
137,Bosnia and Herzegovina,Montenegro
138,Bosnia and Herzegovina,Serbia
139,Botswana,Namibia
140,Botswana,South Africa 
141,Botswana,Zambia
142,Botswana,Zimbabwe
143,Brazil,Argentina
144,Brazil,Bolivia
145,Brazil,Colombia
146,Brazil,France
147,Brazil,Guyana
148,Brazil,Paraguay
149,Brazil,Peru
150,Brazil,Suriname
151,Brazil,Uruguay
152,Brazil,Venezuela
